name,sku,category,cost_price
Notebook Dell Inspiron 15,dell-insp15,Informatica,3450.0
Mouse Gamer Redragon,red-msg,Acessorios,120.5
Teclado Mecanico Logitech,logi-k380-br,Acessorios,299.9
Headset HyperX Cloud II,hyp-cld2,Audio,540.0
Monitor LG 24 Polegadas,lg-24mk430h,Informatica,899.9
Notebook Lenovo IdeaPad 3,len-ideapad3,Informatica,2899.0
Mouse Sem Fio Logitech M170,logi-m170,Acessorios,79.9
Teclado Sem Fio Multilaser,ml-tc193,Acessorios,89.9
Headset Gamer Redragon Zeus,red-zeus,Audio,350.0
Caixa de Som JBL Go 3,jbl-go3,Audio,220.0
Webcam Logitech C920,logi-c920,Informatica,450.0
SSD Kingston 480GB,king-480ssd,Informatica,250.0
HD Externo Seagate 1TB,sea-1tb,Informatica,320.0
Mousepad Gamer Grande,mp-gamer-xl,Acessorios,45.0
Notebook Acer Aspire 5,acer-asp5,Informatica,3100.0
Fone de Ouvido Sony WH-1000XM4,sony-xm4,Audio,1200.0
Teclado Gamer Redragon Kumara,red-kumara,Acessorios,210.0
Adaptador USB WiFi TP-Link,tp-wifi-usb,Acessorios,95.0
Microfone Condensador Fifine,fifine-k669,Audio,280.0
Suporte para Notebook,sup-note,Acessorios,65.0
Roteador Mercusys V2,mercusys-roteador-v2,Redes,202.84
Roteador Mercusys Elite,mercusys-roteador-elite,Redes,369.49
Fonte de Alimentacao EVGA V2,evga-fonte-v2,Hardware,972.55
Monitor Samsung Advanced,samsung-monitor-advanced,Informatica,857.7
Adaptador WiFi D-Link Plus,d-link-adaptador-plus,Redes,320.92
Suporte Celular X,celular-suporte-x,Acessorios,107.06
Memoria RAM 16GB XPG Elite,xpg-memoria-elite,Hardware,332.82
Switch 8 Portas Intelbras Wireless,intelbras-switch-wireless,Redes,347.78
Microfone Condensador Razer Elite,razer-microfone-elite,Audio,721.01
Fonte de Alimentacao Thermaltake Pro,thermaltake-fonte-pro,Hardware,878.24
Mousepad Gamer Speed V2,gamerspeed-mousepad-v2,Acessorios,324.37
Fone Bluetooth Apple Gamer,apple-fone-gamer,Audio,911.95
Mouse Gamer Corsair Advanced,corsair-mouse-advanced,Acessorios,132.77
Teclado Membrana HP Wireless,hp-teclado-wireless,Acessorios,240.56
Teclado Membrana HP Edition,hp-teclado-edition,Acessorios,351.9
Switch 8 Portas TP-Link Lite,tp-link-switch-lite,Redes,54.4
Adaptador WiFi Ugreen Edition,ugreen-adaptador-edition,Redes,332.37
Switch 8 Portas Intelbras S,intelbras-switch-s,Redes,265.91
Hub USB Baseus M,baseus-hub-m,Acessorios,375.18
Adaptador WiFi D-Link Lite,d-link-adaptador-lite,Redes,384.14
Fone Bluetooth Sony Lite,sony-fone-lite,Audio,230.43
Switch 8 Portas Intelbras Plus,intelbras-switch-plus,Redes,51.27
Fone Bluetooth Apple Gamer 257,apple-fone-gamer-1,Audio,487.52
Teclado Membrana Multilaser Ultra,multilaser-teclado-ultra,Acessorios,392.98
Caixa de Som JBL Gamer,jbl-caixa-gamer,Audio,1031.97
Mouse Gamer Redragon Wireless,redragon-mouse-wireless,Acessorios,176.33
Adaptador WiFi TP-Link S,tp-link-adaptador-s,Redes,154.5
Microfone Condensador HyperX Ultra,hyperx-microfone-ultra,Audio,950.71
Fone Bluetooth Apple Advanced,apple-fone-advanced,Audio,539.0
Microfone Condensador Razer Wireless,razer-microfone-wireless,Audio,223.35
Mousepad Gamer Speed Elite,gamerspeed-mousepad-elite,Acessorios,84.81
Notebook Lenovo Lite,lenovo-notebook-lite,Informatica,5699.33
Gabinete Gamer Corsair Wireless,corsair-gabinete-wireless,Hardware,687.72
Caixa de Som Logitech Plus,logitech-caixa-plus,Audio,886.89
Fone Bluetooth JBL M,jbl-fone-m,Audio,495.01
SSD SATA 480GB Crucial Gamer,crucial-ssd-gamer,Hardware,1389.73
Mouse Gamer HyperX V2,hyperx-mouse-v2,Acessorios,303.77
Memoria RAM 16GB Corsair Gamer,corsair-memoria-gamer,Hardware,1062.03
Mouse Gamer Corsair RGB,corsair-mouse-rgb,Acessorios,371.18
Notebook Asus Plus,asus-notebook-plus,Informatica,8672.88
Roteador Asus M,asus-roteador-m,Redes,327.95
Notebook Samsung Edition,samsung-notebook-edition,Informatica,4659.79
Webcam Logitech RGB,logitech-webcam-rgb,Informatica,808.17
Headset Gamer Redragon Plus,redragon-headset-plus,Audio,1113.4
SSD NVMe 1TB Samsung Pro,samsung-ssd-pro,Hardware,543.54
Suporte Notebook Elite,notebook-suporte-elite,Acessorios,301.41
Mouse Sem Fio Microsoft Plus,microsoft-mouse-plus,Acessorios,80.68
Mousepad Gamer Control Lite,gamercontrol-mousepad-lite,Acessorios,249.29
Monitor Acer Advanced,acer-monitor-advanced,Informatica,2272.97
SSD SATA 480GB Kingston Lite,kingston-ssd-lite,Hardware,1780.71
Placa Mae Asus Gamer,asus-placa-gamer,Hardware,814.81
Suporte Notebook Lite,notebook-suporte-lite,Acessorios,136.65
Roteador TP-Link Gamer,tp-link-roteador-gamer,Redes,136.64
Suporte Celular Wireless,celular-suporte-wireless,Acessorios,236.6
Hub USB Ugreen M,ugreen-hub-m,Acessorios,42.0
Microfone Condensador HyperX Plus,hyperx-microfone-plus,Audio,478.31
SSD SATA 480GB WD Plus,wd-ssd-plus,Hardware,874.4
Teclado Mecanico Redragon S,redragon-teclado-s,Acessorios,365.87
Headset Gamer Redragon Gamer,redragon-headset-gamer,Audio,859.67
Monitor Samsung Gamer,samsung-monitor-gamer,Informatica,2318.71
Adaptador WiFi Ugreen RGB,ugreen-adaptador-rgb,Redes,375.48
Headset Gamer Razer Wireless,razer-headset-wireless,Audio,557.46
Suporte Notebook V2,notebook-suporte-v2,Acessorios,208.49
Monitor LG V2,lg-monitor-v2,Informatica,764.43
Monitor Samsung Plus,samsung-monitor-plus,Informatica,3459.83
Webcam Microsoft X,microsoft-webcam-x,Informatica,703.29
Memoria RAM 8GB XPG Edition,xpg-memoria-edition,Hardware,1351.7
Adaptador WiFi Ugreen Advanced,ugreen-adaptador-advanced,Redes,310.41
Switch 8 Portas Intelbras Gamer,intelbras-switch-gamer,Redes,370.29
Gabinete Gamer NZXT Pro,nzxt-gabinete-pro,Hardware,553.93
Webcam Redragon Gamer,redragon-webcam-gamer,Informatica,484.05
Fone Bluetooth Samsung V2,samsung-fone-v2,Audio,1424.09
Hub USB Baseus S,baseus-hub-s,Acessorios,193.8
Monitor LG RGB,lg-monitor-rgb,Informatica,2808.42
Webcam Logitech Wireless,logitech-webcam-wireless,Informatica,481.1
Microfone Condensador HyperX S,hyperx-microfone-s,Audio,253.27
Hub USB Multilaser M,multilaser-hub-m,Acessorios,184.86
Suporte Notebook V2 858,notebook-suporte-v2-1,Acessorios,338.89
Notebook HP Gamer,hp-notebook-gamer,Informatica,10202.1
Mousepad Gamer Control Ultra,gamercontrol-mousepad-ultra,Acessorios,297.15
Switch 8 Portas D-Link Wireless,d-link-switch-wireless,Redes,392.57
Switch 8 Portas D-Link M,d-link-switch-m,Redes,62.3
Mouse Gamer HyperX Elite,hyperx-mouse-elite,Acessorios,335.79
Webcam Microsoft Plus,microsoft-webcam-plus,Informatica,524.86
Caixa de Som Logitech Advanced,logitech-caixa-advanced,Audio,364.05
Memoria RAM 16GB Corsair Advanced,corsair-memoria-advanced,Hardware,741.47
Webcam Razer Advanced,razer-webcam-advanced,Informatica,685.22
Monitor LG Advanced,lg-monitor-advanced,Informatica,1374.15
Suporte Celular Elite,celular-suporte-elite,Acessorios,266.11
Teclado Mecanico Logitech S,logitech-teclado-s,Acessorios,372.58
Fone Bluetooth Sony V2,sony-fone-v2,Audio,455.12
Fone Bluetooth JBL Ultra,jbl-fone-ultra,Audio,1416.77
Suporte Monitor M,monitor-suporte-m,Acessorios,391.84
SSD NVMe 1TB Corsair X,corsair-ssd-x,Hardware,1509.3
Teclado Mecanico Logitech Plus,logitech-teclado-plus,Acessorios,212.58
Roteador D-Link Lite,d-link-roteador-lite,Redes,59.75
Gabinete Gamer NZXT Gamer,nzxt-gabinete-gamer,Hardware,216.7
Mousepad Extra Grande Pro,extragrande-mousepad-pro,Acessorios,371.29
Adaptador WiFi TP-Link Wireless,tp-link-adaptador-wireless,Redes,95.51
Switch 8 Portas Intelbras S 100,intelbras-switch-s-1,Redes,93.82
Monitor Dell M,dell-monitor-m,Informatica,2061.93
Adaptador WiFi D-Link Elite,d-link-adaptador-elite,Redes,329.49
Mouse Gamer Corsair Plus,corsair-mouse-plus,Acessorios,310.61
Teclado Mecanico Razer V2,razer-teclado-v2,Acessorios,55.59
Memoria RAM 8GB Corsair M,corsair-memoria-m,Hardware,1203.18
SSD NVMe 1TB Kingston V2,kingston-ssd-v2,Hardware,723.56
Headset Gamer HyperX Lite,hyperx-headset-lite,Audio,1219.33
Memoria RAM 16GB XPG Elite 381,xpg-memoria-elite-1,Hardware,1467.45
Hub USB Baseus Advanced,baseus-hub-advanced,Acessorios,221.12
Fone Bluetooth Xiaomi Lite,xiaomi-fone-lite,Audio,1343.96
Teclado Mecanico HyperX Pro,hyperx-teclado-pro,Acessorios,375.57
Adaptador WiFi Intelbras RGB,intelbras-adaptador-rgb,Redes,134.58
Adaptador WiFi D-Link X,d-link-adaptador-x,Redes,278.5
Roteador Asus Pro,asus-roteador-pro,Redes,38.75
Caixa de Som Logitech S,logitech-caixa-s,Audio,596.52
Mouse Gamer Razer Lite,razer-mouse-lite,Acessorios,143.83
Caixa de Som Edifier Pro,edifier-caixa-pro,Audio,1139.8
Suporte Notebook Ultra,notebook-suporte-ultra,Acessorios,32.23
Adaptador WiFi TP-Link Plus,tp-link-adaptador-plus,Redes,156.69
Monitor AOC X,aoc-monitor-x,Informatica,2675.07
Microfone Condensador Fifine RGB,fifine-microfone-rgb,Audio,296.0
Microfone Condensador Fifine X,fifine-microfone-x,Audio,418.3
Notebook Asus Advanced,asus-notebook-advanced,Informatica,3101.51
Roteador Mercusys RGB,mercusys-roteador-rgb,Redes,134.33
Gabinete Gamer Pichau Lite,pichau-gabinete-lite,Hardware,895.04
Fone Bluetooth Samsung Lite,samsung-fone-lite,Audio,1164.82
Switch 8 Portas D-Link Edition,d-link-switch-edition,Redes,132.95
Teclado Mecanico HyperX M,hyperx-teclado-m,Acessorios,270.98
SSD NVMe 1TB WD X,wd-ssd-x,Hardware,1242.57
Webcam Microsoft Advanced,microsoft-webcam-advanced,Informatica,234.52
Webcam Redragon Advanced,redragon-webcam-advanced,Informatica,452.26
Gabinete Gamer Cooler Master S,coolermaster-gabinete-s,Hardware,525.22
Notebook Acer Pro,acer-notebook-pro,Informatica,6092.08
Switch 8 Portas Intelbras Wireless 784,intelbras-switch-wireless-1,Redes,274.24
Suporte Headset Ultra,headset-suporte-ultra,Acessorios,238.8
Fonte de Alimentacao Corsair Advanced,corsair-fonte-advanced,Hardware,150.26
SSD SATA 480GB WD M,wd-ssd-m,Hardware,519.87
Switch 8 Portas D-Link RGB,d-link-switch-rgb,Redes,294.53
Teclado Mecanico Logitech V2,logitech-teclado-v2,Acessorios,117.88
Notebook Dell Wireless,dell-notebook-wireless,Informatica,4130.08
Teclado Membrana Logitech Lite,logitech-teclado-lite,Acessorios,379.18
Headset Gamer Redragon V2,redragon-headset-v2,Audio,546.8
Webcam Redragon Edition,redragon-webcam-edition,Informatica,221.62
Headset Gamer HyperX Edition,hyperx-headset-edition,Audio,201.52
Notebook HP Wireless,hp-notebook-wireless,Informatica,9161.7
Adaptador WiFi Intelbras Wireless,intelbras-adaptador-wireless,Redes,50.05
Webcam Microsoft Wireless,microsoft-webcam-wireless,Informatica,578.67
Memoria RAM 16GB XPG S,xpg-memoria-s,Hardware,1481.87
Memoria RAM 8GB Kingston M,kingston-memoria-m,Hardware,715.14
Placa Mae Gigabyte V2,gigabyte-placa-v2,Hardware,1087.17
Suporte Celular X 858,celular-suporte-x-1,Acessorios,122.93
Webcam Microsoft Elite,microsoft-webcam-elite,Informatica,811.37
Notebook Asus Plus 435,asus-notebook-plus-1,Informatica,7557.32
Adaptador WiFi TP-Link S 570,tp-link-adaptador-s-1,Redes,389.06
Fone Bluetooth JBL X,jbl-fone-x,Audio,480.32
Caixa de Som Edifier Pro 637,edifier-caixa-pro-1,Audio,393.42
Mouse Gamer Corsair S,corsair-mouse-s,Acessorios,250.0
Switch 8 Portas Intelbras Advanced,intelbras-switch-advanced,Redes,399.51
Fone Bluetooth Samsung S,samsung-fone-s,Audio,858.95
Webcam Razer Elite,razer-webcam-elite,Informatica,452.54
Monitor Samsung Plus 109,samsung-monitor-plus-1,Informatica,2721.82
Suporte Celular S,celular-suporte-s,Acessorios,238.59
Headset Gamer JBL Lite,jbl-headset-lite,Audio,1244.6
Mousepad Gamer Speed Advanced,gamerspeed-mousepad-advanced,Acessorios,357.51
Notebook Dell V2,dell-notebook-v2,Informatica,4649.0
Microfone Condensador Fifine Elite,fifine-microfone-elite,Audio,811.93
Fonte de Alimentacao Thermaltake Advanced,thermaltake-fonte-advanced,Hardware,236.01
Microfone Condensador Blue M,blue-microfone-m,Audio,1435.75
Teclado Membrana Logitech Wireless,logitech-teclado-wireless,Acessorios,72.08
Microfone Condensador Razer S,razer-microfone-s,Audio,1313.61
Monitor AOC Plus,aoc-monitor-plus,Informatica,1522.14
Microfone Condensador HyperX S 428,hyperx-microfone-s-1,Audio,328.58
Roteador Intelbras Advanced,intelbras-roteador-advanced,Redes,257.07
Switch 8 Portas D-Link Edition 662,d-link-switch-edition-1,Redes,231.9
Memoria RAM 8GB XPG Ultra,xpg-memoria-ultra,Hardware,1543.92
Roteador Asus Pro 338,asus-roteador-pro-1,Redes,168.58
Switch 8 Portas TP-Link S,tp-link-switch-s,Redes,341.87
Memoria RAM 8GB XPG V2,xpg-memoria-v2,Hardware,896.35
Adaptador WiFi TP-Link Ultra,tp-link-adaptador-ultra,Redes,165.53
Adaptador WiFi D-Link X 391,d-link-adaptador-x-1,Redes,165.78
